model_name,model_type,auc,f1,precision,recall
Logistic Regression,Regression,0.8720315878537181,0.2608695652173913,0.15517241379310345,0.8181818181818182
Random Forest,Tree-based,0.8353577136410641,0.03225806451612903,0.14285714285714285,0.01818181818181818
XGBoost,Tree-based,0.8502679326877879,0.17777777777777778,0.22857142857142856,0.14545454545454545
LightGBM,Tree-based,0.847306571401711,0.05555555555555555,0.11764705882352941,0.03636363636363636
